caseid,sender,target,startdate,terdate,defactoter,ongoing,gradual,expiry,review,measures,goals,adaptgoal,targetsalience,sendersalience,requirementter,outcome,negotiations,costsender,instinvestment,costtarget,multilateralism,datasets,comment,sourceimp,sourceter
UNASUR_PAR_12,4375,150,29.06.2012,15.08.2013,,0,0,0,0,DS,DM,0,1,0,Ambiguous,Target complete acquiescence,0,Blank,0,Minor,RO,IST,,http://www.europarl.europa.eu/meetdocs/2009_2014/documents/dmer/dv/unasur_suspende_paraguay_july2012_/unasur_suspende_paraguay_july2012_es.pdf,"https://elpais.com/internacional/2013/08/11/actualidad/1376231106_648153.html;
https://en.mercopress.com/2013/08/11/unasur-lifts-suspension-pending-on-paraguay-effective-15-august"
USA_PAR_03,2,150,01.07.2003,27.11.2006,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2006/12/12/06-9665/waiving-the-prohibition-on-the-use-of-fiscal-year-2006-economic-support-funds-with-respect-to
USA_CHL_74,2,155,30.12.1974,04.02.1991,,0,1,0,0,"AS, AE, DS, CE, IM","DM, HR",0,1,0,Ambiguous,Target partial acquiescence,1,Minor,0,Minor,USA,EUSANCT/HSE,,https://uscode.house.gov/statutes/pl/93/559.pdf,https://www.govinfo.gov/content/pkg/STATUTE-105/pdf/STATUTE-105-Pg2482.pdf
USA_URU_03,2,165,01.07.2003,11.03.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,0,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.congress.gov/111/plaws/publ8/PLAW-111publ8.pdf
USA_IRE_03,2,205,01.07.2003,11.03.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.congress.gov/111/plaws/publ8/PLAW-111publ8.pdf
EU_AUS_00,1830,305,31.01.2000,12.09.2000,,0,0,0,0,DS,DM,0,1,0,Clear ,Sender capitulation,0,Blank,0,Minor,EU,IST,,https://ec.europa.eu/dorie/fileDownload.do;jsessionid=Ng8KStTVk5CvsXhnJGcm4q8Rry89P6cT8bs35h08fhpvFPssDYGc!1615003456?docId=84237&cardId=84237,https://www.nytimes.com/2000/09/12/world/the-european-union-lifts-sanctions-against-austria.html
USA_SLO_03,2,317,01.07.2003,29.03.2004,,0,1,0,0,"AS, IM",CB,0,0,0,Clear ,Stalemate,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.nato.int/docu/update/2004/03-march/e0329a.htm
USA_MLT_03,2,338,01.07.2003,11.03.2009,,0,1,0,0,"IM, AS",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.congress.gov/111/plaws/publ8/PLAW-111publ8.pdf
USA_MNG_06,2,341,23.10.2006,31.08.2007,,0,0,0,0,AS,CB,0,0,0,Clear ,Target complete acquiescence,1,Minor,0,Minor,USA,EUSANCT,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.federalregister.gov/documents/2007/09/17/07-4616/presidential-determination-on-waiving-prohibition-on-united-states-military-assistance-with-respect
EEC_MAC_91,"1653, 1830",343,08.09.1991,13.03.1996,,0,0,0,0,AE,"HR, AC",0,0,1,Ambiguous,Target complete acquiescence,0,Blank,0,Minor,EU – UN – USA,EUSANCT,Imposition date is the date of independence,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:1996:058:FULL&from=FR,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31996E0184&from=EN
UN_MAC_91,4400,343,25.09.1991,14.06.1996,,0,1,0,0,AE,AC,0,0,1,Clear ,Target complete acquiescence,0,Blank,1,Minor,EU – UN – USA,EUSANCT,"The Secretary-General submitted the report on the implementation of Annex 1B (Agreement on Regional Stabilization) on June 14, 1996. June 14 is thus the day upon which the UNSC arms embargo on the states of the former Yugoslavia, imposed by the Security Council in Resolution 713, terminated.",http://unscr.com/en/resolutions/doc/713,"https://undocs.org/S/RES/1021(1995);
https://www.govinfo.gov/content/pkg/FR-1996-07-12/pdf/96-17753.pdf"
USA_MAC_91,2,343,08.09.1991,12.07.1996,,0,1,0,0,"AE, AS",AC,0,1,0,Ambiguous,Stalemate,0,Minor,0,Minor,EU – UN – USA,IST,,"https://www.congress.gov/bill/101st-congress/house-bill/5114;
https://www.govinfo.gov/content/pkg/FR-1991-07-19/pdf/FR-1991-07-19.pdf",https://www.govinfo.gov/content/pkg/FR-1997-11-17/pdf/97-29595.pdf
EEC_CRO_91,"1653, 1830",344,05.07.1991,20.11.2000,,0,0,0,1,AE,"HR, AC",0,1,1,Ambiguous,Target complete acquiescence,1,Blank,0,Minor,EU – UN – USA,EUSANCT,,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A31996E0184,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32000E0722&from=EN
UN_CRO_91,4400,344,25.09.1991,14.06.1996,,0,1,0,0,AE,AC,0,1,1,Clear ,Target partial acquiescence,1,Blank,1,Minor,EU – UN – USA,EUSANCT,"The Secretary-General submitted the report on the implementation of Annex 1B (Agreement on Regional Stabilization) on June 14, 1996. June 14 is thus the day upon which the UNSC arms embargo on the states of the former Yugoslavia, imposed by the Security Council in Resolution 713, terminated.",http://unscr.com/en/resolutions/doc/713,"https://undocs.org/S/RES/1021(1995);
https://www.govinfo.gov/content/pkg/FR-1996-07-12/pdf/96-17753.pdf"
USA_CRO_03,2,344,01.07.2003,11.03.2009,,0,1,0,0,"AS, IM",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT/TIES,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.congress.gov/111/plaws/publ8/PLAW-111publ8.pdf
USA_CRO_91,2,344,25.09.1991,12.07.1996,,0,1,0,0,"AE, AS",AC,0,1,0,Ambiguous,Stalemate,0,Minor,0,Minor,EU – UN – USA,IST,,"https://www.congress.gov/bill/101st-congress/house-bill/5114;
https://www.govinfo.gov/content/pkg/FR-1991-07-19/pdf/FR-1991-07-19.pdf",https://www.govinfo.gov/content/pkg/FR-1997-11-17/pdf/97-29595.pdf
EEC_YUG_91,"1653, 1830",345,05.07.1991,08.10.2001,,0,1,0,1,"AE, CE, TE, FS, TB, AS, AF, DS, FB","HR, AC",0,1,1,Clear ,Target complete acquiescence,1,Blank,0,Severe,EU – UN – USA,EUSANCT/TIES/HSE,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31996E0184&from=EN,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32001E0719:EN:HTML
EU_YUG_06,1830,345,03.05.2006,07.12.2009,,0,0,0,0,AS,Other,0,0,0,Clear ,Target partial acquiescence,1,Blank,0,Minor,EU,EUSANCT,,https://www.dw.com/en/eu-suspends-talks-on-closer-ties-with-serbia/a-1991697,https://www.consilium.europa.eu/uedocs/cms_data/docs/pressdata/EN/genaff/111830.pdf
UN_YUG_91,4400,345,25.09.1991,01.10.1996,,0,1,0,1,"AE, TE, FS, FB, DS, TB, OE, CE","DM, AC",1,1,1,Clear ,Target partial acquiescence,1,Blank,1,Severe,EU – UN – USA,EUSANCT/TIES/HSE,,http://unscr.com/en/resolutions/doc/713,http://unscr.com/en/resolutions/doc/1074
USA_YUG_03,2,345,01.07.2003,11.03.2009,,0,1,0,0,"AS, IM",CB,0,0,0,Clear ,Sender capitulation,1,Minor,0,Minor,USA,EUSANCT,ICC CASE,https://2001-2009.state.gov/t/pm/rls/othr/misc/23425.htm,https://www.congress.gov/111/plaws/publ8/PLAW-111publ8.pdf
USA_YUG_04,2,345,31.03.2004,08.06.2005,,0,0,0,0,AS,"CB, HR",0,0,0,Clear ,Target partial acquiescence,0,Minor,0,Minor,USA,IST,Actually against Serbia,https://www.congress.gov/108/plaws/publ199/PLAW-108publ199.pdf,https://fas.org/sgp/crs/row/RS21686.pdf
USA_YUG_91,2,345,05.05.1991,28.05.2003,,0,1,0,0,"TE, CE, AE, IM, FS, FB, AS, DS, TB, AF","AC, DM, HR",1,1,0,Clear ,Target partial acquiescence,1,Minor,0,Severe,EU – UN – USA,EUSANCT/TIES/HSE,,"https://www.congress.gov/bill/101st-congress/house-bill/5114;
https://www.govinfo.gov/content/pkg/FR-1991-07-19/pdf/FR-1991-07-19.pdf",https://www.federalregister.gov/documents/2003/05/29/03-13694/termination-of-emergencies-with-respect-to-yugoslavia-and-modification-of-executive-order-13219-of
